year,station,do,ph,co,bod,na,tc,wqi
2014,1702,5.3,7.2,970,13.3,5.9,7133,67.06
2014,1703,4.9,7.7,1418,21,4.2,49500,50.2
2014,1704,4.1,7.5,1015,23,6.1,57500,50.2
2014,1705,4.8,7.4,854,17,4.7,38000,50.2
2014,1025,6.7,8.2,183,19.8,0,468,78.84
2014,1026,6.7,7.9,183,18.2,0,468,78.84
2014,1718,4,6.8,370,3,0.8,9,73.12
2014,1871,7.8,7.8,376,1.3,0.4,17,93.28
2014,2624,7.7,7.7,354,1.3,0.3,22,93.28
2014,2625,7.6,7.9,344,1.6,0.4,22,93.28
2014,1884,6.7,7.2,183,88,0,468,74.16
2014,1870,4.4,7.1,694,41,1.2,224,67.06
2014,2947,5.9,8,401,0.9,0.7,15,87.66
2014,1717,6,7.2,106,0.8,0.4,15,94
2014,2948,5.6,7.9,326,1.1,0.8,4,93.28
2014,2949,6.2,8.1,592,1,0.7,6,93.28
2014,3383,7.2,7.5,119,2.3,3.8,74,88.38
2014,3384,7.2,7.5,120,2.3,4.1,67,88.38
2014,3380,7.5,7.3,82,1.8,2.8,70,88.38
2014,1632,7.5,7.5,111,2.4,3,506,82.76
2014,1428,5.3,3.3,831,7.7,3.2,36,61.8
2014,3369,7.2,7.2,56,1.7,2.6,42,94.18
2014,3370,7.5,7.2,66,1.6,2.5,44,94.18
2014,3371,7.8,7,74,2.3,4.3,108,88.56
2014,3375,6.7,2.7,1350,3.3,1.1,16,72.1
2014,3376,7.3,6.6,274,2.5,2.4,386,78.12
2014,3381,7.4,7.3,67,1.8,2.5,55,88.56
2014,3382,7.2,7.4,82,2,2.8,61,88.38
2014,3377,7.3,7.1,55,1.9,2.5,53,88.56
2014,3378,7.3,7.1,57,2,2.4,50,94.18
2014,1631,6.6,7.1,114,2.6,2.8,3108,82.76
2014,3379,7.3,5.6,56,1.8,2.1,34,77.68
2014,3367,5.1,7,105,3.6,4.7,780,72.46
2014,3368,7.3,7.1,51,1.6,2.4,40,94.18
2014,3372,7.7,7.2,50,1.6,2,36,94.18
2014,1633,7.6,7.3,115,2.1,3.7,528,82.76
2014,3353,6.2,7,81,2.4,5.1,79,88.38
2014,3354,7.2,7.1,66,1.9,3.4,63,88.56
2014,3355,7.4,7.1,57,1.5,2.9,40,94.18
2014,3356,7.5,7.4,144,1.7,3.5,59,88.38
2014,3350,7.1,7.1,63,1.9,5.6,48,94.18
